C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 14:30:00",1216,0,0,"2024/06/10 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 15:00:00",1188,0,0,"2024/06/10 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 15:30:00",1238,0,0,"2024/06/10 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 16:00:00",1331,0,0,"2024/06/10 16:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 16:30:00",1428,0,0,"2024/06/10 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 17:00:00",1527,0,0,"2024/06/10 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 17:30:00",1643,0,0,"2024/06/10 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 18:00:00",1766,0,0,"2024/06/10 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 18:30:00",1805,0,0,"2024/06/10 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 19:00:00",1815,0,0,"2024/06/10 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 19:30:00",1791,0,0,"2024/06/10 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 20:00:00",1777,0,0,"2024/06/10 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 20:30:00",1727,0,0,"2024/06/10 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 21:00:00",1682,0,0,"2024/06/10 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 21:30:00",1645,0,0,"2024/06/10 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 22:00:00",1591,0,0,"2024/06/10 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 22:30:00",1531,0,0,"2024/06/10 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 23:00:00",1488,0,0,"2024/06/10 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/10 23:30:00",1445,0,0,"2024/06/10 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 00:00:00",1505,0,0,"2024/06/11 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 00:30:00",1507,0,0,"2024/06/11 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 01:00:00",1515,0,0,"2024/06/11 01:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 01:30:00",1485,0,0,"2024/06/11 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 02:00:00",1475,0,0,"2024/06/11 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 02:30:00",1432,0,0,"2024/06/11 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 03:00:00",1407,0,0,"2024/06/11 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 03:30:00",1421,0,0,"2024/06/11 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,"2024/06/11 04:00:00",1394,0,0,"2024/06/11 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 04:30:00",1186,0,0,"2024/06/10 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 05:00:00",1197,0,0,"2024/06/10 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 05:30:00",1212,0,0,"2024/06/10 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 06:00:00",1230,0,0,"2024/06/10 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 06:30:00",1240,0,0,"2024/06/10 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 07:00:00",1268,0,0,"2024/06/10 07:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 07:30:00",1291,0,0,"2024/06/10 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,"2024/06/10 08:00:00",1355,0,0,"2024/06/10 08:00:01"
